;Tweet;Sentimen;step01;tokens;final_tokens;step02
0;Cegah mata rantai Covid-19,mari kita dirumah saja hingga hari Minggu.....;1.0;cegah mata rantai covid   mari kita dirumah saja hingga hari minggu;['cegah', 'mata', 'rantai', 'covid', 'mari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu'];['cegah', 'mata', 'rantai', 'covid', 'mari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu'];cegah mata rantai covid mari kita dirumah saja hingga hari minggu
1;aku mohon yaAllah semoga wabah covid-19 menghilang sebelum ramadhan datang ;1.0;aku mohon yaallah semoga wabah covid   menghilang sebelum ramadhan datang;['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'menghilang', 'sebelum', 'ramadhan', 'datang'];['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'menghilang', 'sebelum', 'ramadhan', 'datang'];aku mohon yaallah semoga wabah covid menghilang sebelum ramadhan datang
2;Pemprov Papua Naikkan Status Jadi Tanggap Darurat Covid-19. OPM;1.0;pemprov papua naikkan status jadi tanggap darurat covid   opm;['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'opm'];['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'opm'];pemprov papua naikkan status jadi tanggap darurat covid opm
3;Covid belum nyampe prigen mbak hmm hoax;0.0;covid belum nyampe prigen mbak hmm hoax;['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax'];['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax'];covid belum nyampe prigen mbak hmm hoax
4;Nyuruh orang pintar, lu aja Togog. Itu kerumunan orang bisa nularin covid 19 lol. Mikir !!!!;-1.0;nyuruh orang pintar lu aja togog itu kerumunan orang bisa nularin covid   lol mikir;['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'lol', 'mikir'];['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'lol', 'mikir'];nyuruh orang pintar lu aja togog itu kerumunan orang bisa nularin covid lol mikir
5;Pikir2 balik byk mnde plk nk setelkn lepas covid.;0.0;pikir balik byk mnde plk nk setelkn lepas covid;['pikir', 'balik', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];['pikir', 'balik', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];pikir balik byk mnde plk nk setelkn lepas covid
6;Selamat pagi, hari jum'at. Jum'at keempat di kala pandemi Covid-19. Semoga kita semua dikasih kesehatan. Aamiin.;1.0;selamat pagi hari jumat jumat keempat di kala pandemi covid   semoga kita semua dikasih kesehatan aamiin;['selamat', 'pagi', 'hari', 'jumat', 'jumat', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'aamiin'];['selamat', 'pagi', 'hari', 'jumat', 'jumat', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'aamiin'];selamat pagi hari jumat jumat keempat di kala pandemi covid semoga kita semua dikasih kesehatan aamiin
7;Hikmah di balik musibah covid-19, smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat Indonesia, bukan memperkaya diri sendiri, keluarga dan kepentingan golongan. Apalagi membela kepentingan WNA, yg jelas2 melukai kepentingan rakyat.;1.0;hikmah di balik musibah covid   smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat indonesia bukan memperkaya diri sendiri keluarga dan kepentingan golongan apalagi membela kepentingan wna yg jelas melukai kepentingan rakyat;['hikmah', 'di', 'balik', 'musibah', 'covid', 'smg', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yg', 'jelas', 'melukai', 'kepentingan', 'rakyat'];['hikmah', 'di', 'balik', 'musibah', 'covid', 'smg', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yg', 'jelas', 'melukai', 'kepentingan', 'rakyat'];hikmah di balik musibah covid smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat indonesia bukan memperkaya diri sendiri keluarga dan kepentingan golongan apalagi membela kepentingan wna yg jelas melukai kepentingan rakyat
8;Cegah covid-19 beserta jajaran Polsek Kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan Polsek Kuranji.Kamis (9/4)Febriputraguci;1.0;cegah covid   beserta jajaran polsek kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan polsek kuranji kamis   febriputraguci;['cegah', 'covid', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranji', 'kamis', 'febriputraguci'];['cegah', 'covid', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranji', 'kamis', 'febriputraguci'];cegah covid beserta jajaran polsek kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan polsek kuranji kamis febriputraguci
9;Ya Allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang...Ya Allah lindungilah kami dari penyakit berjangkit covid 19... Aamiin.. aamiin ya rabbal a'lamin..stay at home.. jangan keluar rumah;1.0;ya allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang ya allah lindungilah kami dari penyakit berjangkit covid   aamiin aamiin ya rabbal lamin stay at home jangan keluar rumah;['ya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayang', 'ya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'aamiin', 'aamiin', 'ya', 'rabbal', 'lamin', 'stay', 'at', 'home', 'jangan', 'keluar', 'rumah'];['ya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayang', 'ya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'aamiin', 'aamiin', 'ya', 'rabbal', 'lamin', 'stay', 'at', 'home', 'jangan', 'keluar', 'rumah'];ya allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang ya allah lindungilah kami dari penyakit berjangkit covid aamiin aamiin ya rabbal lamin stay at home jangan keluar rumah
10;Sah.. Cegah Covid-19 Meluas, Pemerintah Revisi Hari Libur dan Cuti Bersama 2020;1.0;sah cegah covid   meluas pemerintah revisi hari libur dan cuti bersama  ;['sah', 'cegah', 'covid', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama'];['sah', 'cegah', 'covid', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama'];sah cegah covid meluas pemerintah revisi hari libur dan cuti bersama
