,TIDAK BAKU,BAKU
0,mangtab,bagus
1,evolusionis,revolusioner
6,abstarck,abstrak
7,sebenenarnya,sebenarnya
8,kataakanlah,katakanlah
9,kongkrit,konkrit
14,mk,maka
20,sebanrnya,sebenarnya
21,habya,hanya
28,kanca,kancah
32,berkwalitas,berkualitas
36,mantabb,bagus
37,bapakee,bapak
38,weee,wah
47,mantab,bagus
55,tanpak,tampak
61,intgrasi,integrasi
65,Alloh,Allah
66,terharuh,terharu
69,plis,mohon
70,mgp,mengapa
75,hubnya,hubungannya
77,biarkn,biarkan
79,sec,secara
80,dipinggirkn,dipinggirkan
82,omdo,wacana
83,ntn,nonton
85,taeeekkk,tahi
86,spt,seperti
87,yaelah,aduh
89,gua,saya
92,gpp,baik
93,joss,bagus
95,sampei,sampai
96,pas,cocok
100,semster,semester
101,mahasiwa,mahasiswa
102,ngena,tersentuh
103,hra,harus
108,trimakasih,terimakasih
115,bidg,bidang
119,gercep,tangkas
123,trims,terimakasih
124,knp,mengapa
125,nyinyir,cerewet
126,thp,terhadap
128,benerin,dibetulkan
130,tk,tingkat
134,ksehatan,kesehatan
135,markotop,bagus
136,maantaap,bagus
140,maba,mahasiswa
148,smt,semester
149,trllu,terlalu
152,mumet,pusing
153,bentar,sebentar
155,gapapah,baik
157,enjoy,santai
158,mon,mohon
165,bayak,banyak
166,gokil,bagus
175,mah ,itu
179,alhamdulillah,syukur
182,fotocopy,fotokopi
183,otw,jalan
185,tpi,tapi
187,punten,permisi
193,kating,senior
195,dimna,dimana
201,intern,magang
204,ush,usah
206,melulu,selalu
207,waduh,aduh
208,smester,semester
209,diaplikasiin,diaplikasikan
210,doang,saja
211,sm ,sama
213,bkrj,bekerja
214,universita,universitas
215,puyeng,pusing
217,ngnter,mengantar
218,srt,surat
219,antra,antara
220,agr,agar
221,mmbina,membina
225,abis,setelah
226,ogah,tidak
228,buset,aduh
229,bhasa,bahasa
230,btw,eh
231,thx,terimakasih
235,mantep,bagus
236,sis,kakak
244,ykin,yakin
245,gede,besar
248,mhsiswa,mahasiswa
250,please,mohon
251,fix,pasti
252,internship,magang
254,mantul,bagus
255,kuatir,khawatir
256,hoax,bohong
257,keblinger,sombong
258,trgntung,tergantung
260,mantapppp,bagus
262,khdupan,kehidupan
